,Date,new_cases_smoothed
38715,2020-01-28,706.714
38716,2020-01-29,789.0
38717,2020-01-30,1069.286
38718,2020-01-31,1266.714
38719,2020-02-01,1496.0
38720,2020-02-02,2077.857
38721,2020-02-03,2404.286
38722,2020-02-04,2598.0
38723,2020-02-05,3048.429
38724,2020-02-06,3204.143
38725,2020-02-07,3470.286
38726,2020-02-08,3558.143
38727,2020-02-09,3311.857
38728,2020-02-10,3230.429
38729,2020-02-11,2949.571
38730,2020-02-12,2470.0
38731,2020-02-13,4182.714
38732,2020-02-14,4602.429
38733,2020-02-15,4509.857
38734,2020-02-16,4379.429
38735,2020-02-17,4294.0
38736,2020-02-18,4258.857
38737,2020-02-19,4263.857
38738,2020-02-20,2166.714
38739,2020-02-21,1311.429
38740,2020-02-22,1225.0
38741,2020-02-23,927.429
38742,2020-02-24,684.0
38743,2020-02-25,503.0
38744,2020-02-26,502.714
38745,2020-02-27,499.857
38746,2020-02-28,478.857
38747,2020-02-29,332.714
38748,2020-03-01,412.571
38749,2020-03-02,410.571
38750,2020-03-03,355.857
38751,2020-03-04,315.143
38752,2020-03-05,274.857
38753,2020-03-06,249.857
38754,2020-03-07,200.143
38755,2020-03-08,124.714
38756,2020-03-09,101.286
38757,2020-03-10,86.571
38758,2020-03-11,73.429
38759,2020-03-12,53.0
38760,2020-03-13,32.571
38761,2020-03-14,25.0
38762,2020-03-15,21.286
38763,2020-03-16,18.857
38764,2020-03-17,18.143
38765,2020-03-18,17.286
38766,2020-03-19,19.714
38767,2020-03-20,25.143
38768,2020-03-21,26.714
38769,2020-03-22,35.143
38770,2020-03-23,35.857
38771,2020-03-24,42.286
38772,2020-03-25,45.0
38773,2020-03-26,52.429
38774,2020-03-27,52.571
38775,2020-03-28,55.286
38776,2020-03-29,50.0
38777,2020-03-30,51.429
38778,2020-03-31,269.286
38779,2020-04-01,286.143
38780,2020-04-02,286.571
38781,2020-04-03,292.286
38782,2020-04-04,295.143
38783,2020-04-05,299.571
38784,2020-04-06,310.714
38785,2020-04-07,92.571
38786,2020-04-08,97.143
38787,2020-04-09,100.286
38788,2020-04-10,98.571
38789,2020-04-11,99.429
38790,2020-04-12,112.429
38791,2020-04-13,111.714
38792,2020-04-14,114.143
38793,2020-04-15,100.429
38794,2020-04-16,100.857
38795,2020-04-17,148.571
38796,2020-04-18,146.714
38797,2020-04-19,131.857
38798,2020-04-20,125.286
38799,2020-04-21,123.714
38800,2020-04-22,117.571
38801,2020-04-23,108.0
38802,2020-04-24,56.143
38803,2020-04-25,51.429
38804,2020-04-26,46.857
38805,2020-04-27,42.571
38806,2020-04-28,42.0
38807,2020-04-29,38.714
38808,2020-04-30,39.714
38809,2020-05-01,36.0
38810,2020-05-02,32.0
38818,2020-05-10,18.286
38819,2020-05-11,19.286
38820,2020-05-12,20.0
38821,2020-05-13,18.429
38822,2020-05-14,19.571
38823,2020-05-15,19.857
38824,2020-05-16,18.286
38825,2020-05-17,15.857
38826,2020-05-18,18.714
38827,2020-05-19,17.857
38828,2020-05-20,18.571
38829,2020-05-21,20.857
38830,2020-05-22,24.286
38831,2020-05-23,26.143
38832,2020-05-24,30.143
38833,2020-05-25,33.0
38834,2020-05-26,35.0
38835,2020-05-27,37.0
38836,2020-05-28,35.857
38837,2020-05-29,31.0
38838,2020-05-30,27.429
38839,2020-05-31,23.429
38840,2020-06-01,19.714
38841,2020-06-02,16.714
38842,2020-06-03,12.857
38843,2020-06-04,10.857
38844,2020-06-05,10.286
38845,2020-06-06,10.571
38846,2020-06-07,9.0
38847,2020-06-08,6.714
