,Date,Total,Export,Import,Balance
0,2019-01-01,397594,218003,179591,38412
1,2019-02-01,267608,135324,132284,3039
2,2019-03-01,365000,198232,166769,31463
3,2019-04-01,374020,193551,180469,13082
4,2019-05-01,386579,213920,172659,41260
5,2019-06-01,375222,212406,162816,49590
6,2019-07-01,399484,221784,177700,44084
7,2019-08-01,395094,214852,180243,34609
8,2019-09-01,397375,218196,179179,39017
9,2019-01-01,383503,213025,170478,42547
10,2019-11-01,405322,221470,183852,37618
11,2019-12-01,429325,238268,191057,47210
12,2020-01-01,368508,211588,156921,54667
13,2020-02-01,222751,80379,142372,-61992
14,2020-03-01,349175,184572,164603,19969
15,2020-04-01,354030,199483,154547,44937
16,2020-05-01,351240,206428,144811,61617
17,2020-06-01,381014,212847,168167,44680
18,2020-07-01,413369,236839,176530,60309
19,2020-08-01,411645,234373,177272,57101
20,2020-09-01,441882,238613,203269,35344
21,2020-01-01,415138,236230,178908,57322
22,2020-11-01,459576,266912,192663,74249
23,2020-12-01,487586,281688,205898,75790
24,2021-01-01,465603,263628,201975,61653
25,2021-02-01,374015,204636,169379,35257
26,2021-03-01,469735,240733,229001,11732
27,2021-04-01,486049,263425,222624,40801
28,2021-05-01,484049,263612,220436,43176
29,2021-06-01,511985,281014,230971,50042
30,2021-07-01,508738,282265,226473,55792
31,2021-08-01,528667,293932,234735,59196
32,2021-09-01,542459,305256,237203,68053
33,2021-01-01,514352,299574,214778,84797
34,2021-11-01,577873,324778,253094,71684
35,2021-12-01,586697,340217,246481,93736
36,2022-01-01,570675,327064,243610,83454
37,2022-02-01,405828,217409,188420,28989
38,2022-03-01,505165,275562,229603,45959
39,2022-04-01,495821,273257,222564,50693
40,2022-05-01,537049,307724,229325,78399
41,2022-06-01,564587,331264,233323,97941
42,2022-07-01,564660,332960,231700,101260
