,Date,GSCPI,Month
4,1998-01-31,-0.94,1998-01
5,1998-02-28,-0.44,1998-02
6,1998-03-31,-0.08,1998-03
7,1998-04-30,-0.12,1998-04
8,1998-05-31,-0.49,1998-05
9,1998-06-30,-0.81,1998-06
10,1998-07-31,-0.92,1998-07
11,1998-08-31,-0.93,1998-08
12,1998-09-30,-0.92,1998-09
13,1998-10-31,-0.76,1998-10
14,1998-11-30,-0.82,1998-11
15,1998-12-31,-0.56,1998-12
16,1999-01-31,-0.26,1999-01
17,1999-02-28,-0.06,1999-02
18,1999-03-31,-0.35,1999-03
19,1999-04-30,-0.33,1999-04
20,1999-05-31,-0.36,1999-05
21,1999-06-30,-0.42,1999-06
22,1999-07-31,-0.61,1999-07
23,1999-08-31,-0.49,1999-08
24,1999-09-30,-0.33,1999-09
25,1999-10-31,-0.12,1999-10
26,1999-11-30,-0.09,1999-11
27,1999-12-31,-0.02,1999-12
28,2000-01-31,-0.47,2000-01
29,2000-02-29,-0.34,2000-02
30,2000-03-31,-0.25,2000-03
31,2000-04-30,0.09,2000-04
32,2000-05-31,0.18,2000-05
33,2000-06-30,-0.1,2000-06
34,2000-07-31,-0.11,2000-07
35,2000-08-31,-0.08,2000-08
36,2000-09-30,-0.19,2000-09
37,2000-10-31,-0.66,2000-10
38,2000-11-30,-0.92,2000-11
39,2000-12-31,-1.12,2000-12
40,2001-01-31,-1.14,2001-01
41,2001-02-28,-0.95,2001-02
42,2001-03-31,-0.96,2001-03
43,2001-04-30,-1.18,2001-04
44,2001-05-31,-1.26,2001-05
45,2001-06-30,-0.81,2001-06
46,2001-07-31,-0.85,2001-07
47,2001-08-31,-0.73,2001-08
48,2001-09-30,-0.63,2001-09
49,2001-10-31,-1.13,2001-10
50,2001-11-30,-1.23,2001-11
51,2001-12-31,-1.01,2001-12
52,2002-01-31,-0.89,2002-01
53,2002-02-28,-0.41,2002-02
54,2002-03-31,-0.43,2002-03
55,2002-04-30,-0.48,2002-04
56,2002-05-31,-0.25,2002-05
57,2002-06-30,-0.47,2002-06
58,2002-07-31,-0.86,2002-07
59,2002-08-31,-0.96,2002-08
60,2002-09-30,-0.93,2002-09
61,2002-10-31,-1.13,2002-10
62,2002-11-30,-0.77,2002-11
63,2002-12-31,-0.56,2002-12
64,2003-01-31,-0.49,2003-01
65,2003-02-28,-0.38,2003-02
66,2003-03-31,-0.25,2003-03
67,2003-04-30,-0.5,2003-04
68,2003-05-31,-0.21,2003-05
69,2003-06-30,-0.21,2003-06
70,2003-07-31,-0.11,2003-07
71,2003-08-31,-0.16,2003-08
72,2003-09-30,-0.07,2003-09
73,2003-10-31,-0.31,2003-10
74,2003-11-30,-0.32,2003-11
75,2003-12-31,-0.27,2003-12
76,2004-01-31,-0.38,2004-01
77,2004-02-29,-0.27,2004-02
78,2004-03-31,0.07,2004-03
79,2004-04-30,0.48,2004-04
80,2004-05-31,0.49,2004-05
81,2004-06-30,0.44,2004-06
82,2004-07-31,-0.32,2004-07
83,2004-08-31,0.22,2004-08
84,2004-09-30,-0.03,2004-09
85,2004-10-31,-0.57,2004-10
86,2004-11-30,0.01,2004-11
87,2004-12-31,0.18,2004-12
88,2005-01-31,-0.13,2005-01
89,2005-02-28,-0.24,2005-02
90,2005-03-31,-0.32,2005-03
91,2005-04-30,-1.37,2005-04
92,2005-05-31,-1.11,2005-05
93,2005-06-30,-0.97,2005-06
94,2005-07-31,-1.01,2005-07
95,2005-08-31,-0.75,2005-08
96,2005-09-30,-0.04,2005-09
97,2005-10-31,-0.08,2005-10
98,2005-11-30,-0.69,2005-11
99,2005-12-31,-0.72,2005-12
100,2006-01-31,-0.41,2006-01
101,2006-02-28,-0.67,2006-02
102,2006-03-31,-0.45,2006-03
103,2006-04-30,0.03,2006-04
104,2006-05-31,0.1,2006-05
105,2006-06-30,0.07,2006-06
106,2006-07-31,-0.14,2006-07
107,2006-08-31,0.08,2006-08
108,2006-09-30,-0.53,2006-09
109,2006-10-31,-0.4,2006-10
110,2006-11-30,-0.19,2006-11
111,2006-12-31,-0.44,2006-12
112,2007-01-31,-0.84,2007-01
113,2007-02-28,-0.72,2007-02
114,2007-03-31,-0.5,2007-03
115,2007-04-30,-0.75,2007-04
116,2007-05-31,-0.3,2007-05
117,2007-06-30,-0.37,2007-06
118,2007-07-31,-0.4,2007-07
119,2007-08-31,-0.06,2007-08
120,2007-09-30,-0.08,2007-09
121,2007-10-31,-0.65,2007-10
122,2007-11-30,-0.45,2007-11
123,2007-12-31,-0.17,2007-12
124,2008-01-31,-0.34,2008-01
125,2008-02-29,0.4,2008-02
126,2008-03-31,0.16,2008-03
127,2008-04-30,0.12,2008-04
128,2008-05-31,-0.11,2008-05
129,2008-06-30,0.25,2008-06
130,2008-07-31,0.99,2008-07
131,2008-08-31,0.25,2008-08
132,2008-09-30,-0.57,2008-09
133,2008-10-31,-1.08,2008-10
134,2008-11-30,-1.56,2008-11
135,2008-12-31,-0.66,2008-12
136,2009-01-31,-0.47,2009-01
137,2009-02-28,-0.62,2009-02
138,2009-03-31,-0.03,2009-03
139,2009-04-30,0.68,2009-04
140,2009-05-31,0.19,2009-05
141,2009-06-30,-0.66,2009-06
142,2009-07-31,-0.88,2009-07
143,2009-08-31,-1.17,2009-08
144,2009-09-30,-0.5,2009-09
145,2009-10-31,-0.43,2009-10
146,2009-11-30,-0.75,2009-11
147,2009-12-31,-0.62,2009-12
148,2010-01-31,-0.25,2010-01
