Date,Index Price (USD)
04/01/2019,1515
11/01/2019,1559
18/01/2019,1575
25/01/2019,1603
01/02/2019,1588
08/02/2019,1540
15/02/2019,1574
22/02/2019,1512
01/03/2019,1482
08/03/2019,1420
15/03/2019,1357
22/03/2019,1280
29/03/2019,1300
05/04/2019,1375
12/04/2019,1379
19/04/2019,1334
26/04/2019,1334
03/05/2019,1388
10/05/2019,1407
17/05/2019,1366
24/05/2019,1296
31/05/2019,1289
07/06/2019,1362
14/06/2019,1340
21/06/2019,1307
28/06/2019,1317
05/07/2019,1381
12/07/2019,1399
19/07/2019,1374
26/07/2019,1342
02/08/2019,1351
09/08/2019,1395
16/08/2019,1338
23/08/2019,1351
30/08/2019,1350
06/09/2019,1396
13/09/2019,1356
20/09/2019,1306
27/09/2019,1279
04/10/2019,1269
11/10/2019,1239
18/10/2019,1237
25/10/2019,1238
01/11/2019,1242
08/11/2019,1325
15/11/2019,1362
22/11/2019,1323
29/11/2019,1290
06/12/2019,1315
13/12/2019,1389
20/12/2019,1431
27/12/2019,1446
03/01/2020,1461
10/01/2020,1555
17/01/2020,1581
24/01/2020,1549
31/01/2020,1514
07/02/2020,1468
14/02/2020,1443
21/02/2020,1350
28/02/2020,1331
06/03/2020,1358
13/03/2020,1344
20/03/2020,1377
27/03/2020,1400
03/04/2020,1433
10/04/2020,1473
17/04/2020,1467
24/04/2020,1439
01/05/2020,1451
08/05/2020,1487
15/05/2020,1487
22/05/2020,1471
29/05/2020,1459
05/06/2020,1556
12/06/2020,1674
19/06/2020,1768
26/06/2020,1785
03/07/2020,1812
10/07/2020,1859
17/07/2020,1816
24/07/2020,1779
31/07/2020,1762
07/08/2020,1828
14/08/2020,1848
21/08/2020,1913
28/08/2020,1946
04/09/2020,2032
11/09/2020,2112
18/09/2020,2174
25/09/2020,2247
02/10/2020,2250
09/10/2020,2242
16/10/2020,2232
23/10/2020,2230
30/10/2020,2231
06/11/2020,2264
13/11/2020,2291
20/11/2020,2375
27/11/2020,2443
04/12/2020,2652
11/12/2020,2782
18/12/2020,3004
25/12/2020,3143
01/01/2021,3452
08/01/2021,3854
15/01/2021,4277
22/01/2021,4204
29/01/2021,4398
05/02/2021,4438
12/02/2021,4386
19/02/2021,4578
26/02/2021,4530
05/03/2021,4347
12/03/2021,4481
19/03/2021,4300
26/03/2021,4367
02/04/2021,4442
09/04/2021,4495
16/04/2021,4591
23/04/2021,4702
30/04/2021,4686
07/05/2021,4957
14/05/2021,5379
21/05/2021,5545
28/05/2021,5908
04/06/2021,6251
11/06/2021,6576
18/06/2021,6811
25/06/2021,6753
02/07/2021,6970
09/07/2021,7629
16/07/2021,7998
23/07/2021,8999
30/07/2021,10176
06/08/2021,10380
13/08/2021,9568
20/08/2021,10024
27/08/2021,10323
03/09/2021,10519
10/09/2021,11109
17/09/2021,10996
24/09/2021,10839
01/10/2021,10517
08/10/2021,9949
15/10/2021,10396
22/10/2021,10215
29/10/2021,10321
05/11/2021,10525
12/11/2021,9411
19/11/2021,9202
26/11/2021,9351
03/12/2021,9425
10/12/2021,9550
17/12/2021,9513
24/12/2021,9437
31/12/2021,9293
07/01/2022,9167
14/01/2022,9526
21/01/2022,9680
28/01/2022,9806
04/02/2022,9660
11/02/2022,9628
18/02/2022,9745
25/02/2022,9789
04/03/2022,9757
11/03/2022,9777
18/03/2022,9488
25/03/2022,9430
01/04/2022,9416
08/04/2022,9280
15/04/2022,9232
22/04/2022,9142
29/04/2022,8955
06/05/2022,9710
13/05/2022,9236
20/05/2022,9466
27/05/2022,7851
03/06/2022,7370
10/06/2022,7261
17/06/2022,7098
24/06/2022,7032
01/07/2022,6577
08/07/2022,6495
15/07/2022,6414
22/07/2022,6319
29/07/2022,6120
05/08/2022,6139
12/08/2022,5956
19/08/2022,5280
